[I 2023-10-12 13:41:36,901] Trial 9 finished with value: 0.9998551417438036 and parameters: {'learning_rate': 0.06456023273244124, 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 529}. Best is trial 6 with value: 0.9998985992206626.
Best Hyperparameters: {'learning_rate': 0.01948634488400526, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 833}
Best Accuracy: 0.9998985992206626





(myenv) ghosal@polke:/data/atlastop3/ghosal/BDT_Studies/BDT_Optimisation/optuna> python testing.py 
[I 2023-10-12 13:44:54,102] A new study created in memory with name: no-name-325ef266-f4d2-4b3a-830e-e39fcdacfcda
[I 2023-10-12 13:45:36,097] Trial 0 finished with value: 0.9910187881158287 and parameters: {'learning_rate': 0.0003978203252037544, 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 141}. Best is trial 0 with value: 0.9910187881158287.
[I 2023-10-12 13:47:30,196] Trial 1 finished with value: 0.9910187881158287 and parameters: {'learning_rate': 0.0004267284849601359, 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 241}. Best is trial 0 with value: 0.9910187881158287.
[I 2023-10-12 13:48:29,713] Trial 2 finished with value: 0.9978271261570553 and parameters: {'learning_rate': 0.002694240316750565, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 350}. Best is trial 2 with value: 0.9978271261570553.
[I 2023-10-12 13:49:48,902] Trial 3 finished with value: 0.9998841133950429 and parameters: {'learning_rate': 0.01908957901806231, 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 495}. Best is trial 3 with value: 0.9998841133950429.
[I 2023-10-12 13:53:25,503] Trial 4 finished with value: 0.9998985992206626 and parameters: {'learning_rate': 0.004217923944018533, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 399}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 13:55:34,056] Trial 5 finished with value: 0.9910187881158287 and parameters: {'learning_rate': 0.00015188948448791148, 'max_depth': 9, 'max_features': 'log2', 'n_estimators': 268}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 13:57:23,946] Trial 6 finished with value: 0.9998841133950429 and parameters: {'learning_rate': 0.007123486306249993, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 313}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 13:59:08,458] Trial 7 finished with value: 0.9910187881158287 and parameters: {'learning_rate': 0.001153465271539162, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 191}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 14:02:07,429] Trial 8 finished with value: 0.9998696275694233 and parameters: {'learning_rate': 0.027892827174045304, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 474}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 14:04:26,745] Trial 9 finished with value: 0.9910187881158287 and parameters: {'learning_rate': 0.0008688957599219391, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 258}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 14:05:43,784] Trial 10 finished with value: 0.9998985992206626 and parameters: {'learning_rate': 0.08151321043691749, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 403}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 14:06:59,956] Trial 11 finished with value: 0.9998551417438036 and parameters: {'learning_rate': 0.09474713864973518, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 399}. Best is trial 4 with value: 0.9998985992206626.
[I 2023-10-12 14:08:32,441] Trial 12 finished with value: 0.9999130850462822 and parameters: {'learning_rate': 0.08640375046538626, 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 409}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:10:06,952] Trial 13 finished with value: 0.9998841133950429 and parameters: {'learning_rate': 0.006641778324104522, 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 416}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:12:16,845] Trial 14 finished with value: 0.9999130850462822 and parameters: {'learning_rate': 0.0242655089345637, 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 351}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:13:47,238] Trial 15 finished with value: 0.9998841133950429 and parameters: {'learning_rate': 0.03089047980368765, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 340}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:15:27,383] Trial 16 finished with value: 0.9998116842669448 and parameters: {'learning_rate': 0.0453012356750677, 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 442}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:17:03,775] Trial 17 finished with value: 0.9998551417438036 and parameters: {'learning_rate': 0.01409628585053818, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 362}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:19:08,987] Trial 18 finished with value: 0.9998696275694233 and parameters: {'learning_rate': 0.052956681606366046, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 298}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:21:07,030] Trial 19 finished with value: 0.9998841133950429 and parameters: {'learning_rate': 0.01628936007033827, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 448}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:21:39,482] Trial 20 finished with value: 0.9998551417438036 and parameters: {'learning_rate': 0.06360128397331691, 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100}. Best is trial 12 with value: 0.9999130850462822.
[I 2023-10-12 14:23:26,387] Trial 21 finished with value: 0.9998696275694233 and parameters: {'learning_rate': 0.09955228672090428, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 372}. Best is trial 12 with value: 0.9999130850462822.
